"EF_measure","Units.used.for.EF","EF_type","EF_UI","SE_UI","SS_UI","EF_I","SE_I","SS_I","Var","Dom_nat","Inv_sp","Study","SiteID","Year","Latitude","Longitude","Exp_obs","Ecosystem","Terr_aqu","Native_height","Inv_height","Native_woodiness","Inv_woodiness","Native_C3","Inv_C3","Temp","Precip","CWD"
"Annual evapotranspiration","Centimetres per year","Water supply",125,3.209361307,5,103.5,8.645808233,4,"","Populus deltoides","Tamarix chinensis","Cleverly et al (2006)","Cleverly et al (2006)a",2006,34.662837,-106.776416,"Observational","Forest","Terrestrial",30,6,1,1,1,1,129,224,-1527.875
"Annual evapotranspiration","Centimetres per year","Water supply",107.75,6.574889099,4,107,5.787918451,5,"","Populus deltoides","Tamarix chinensis","Cleverly et al (2006)","Cleverly et al (2006)b",2006,34.662837,-106.776416,"Observational","Forest","Terrestrial",30,6,1,1,1,1,129,224,-1527.875
"Groundwater depth","centimetres","Water supply",148.6,10.77806414,5,332.6,23.5894044,5,"","Populus deltoides","Tamarix chinensis","Cleverly et al (2006)","Cleverly et al (2006)b",2006,34.95888889,-106.6997222,"Observational","Forest","Terrestrial",30,6,1,1,1,1,130,226,-1508.58337402344
"Annual evapotranspiration","Centimetres per year","Water supply",125,3.209361307,5,103.5,8.645808233,4,"","Populus deltoides","Tamarix chinensis","Cleverly et al (2006)","Cleverly et al (2006)b",2006,34.95888889,-106.6997222,"Observational","Forest","Terrestrial",30,6,1,1,1,1,130,226,-1508.58337402344
"Evapotranspiration","","Water supply",1.18275,0.11723,4,1.30385,1.38748,4,"","Muhlenbergia porteri","Eragrostis lehmanniana","Hamerlynk et al (2010)","Hamerlynk et al (2010)a",2010,31.8214,-110.8661,"Observational","Savanna","Terrestrial",0.8,0.705,0,0,0,0,164,480,-1295.79162597656
"Water loss","water loss in metres","Water supply",0.24732,0.057815828,4,0.52688,0.002246294,4,"","Atriplex canescens","Tamarix spp","Hatler et al (2009)","Hatler et al (2009)a",2009,31.692,-103.622,"Observational","Scrub","Terrestrial",0.9,6.214465012,1,1,0,1,181,291,-1639.375
"Mean daily evapotranspiration","millimetres of water per day","Water supply",4.1565,0.3808,5,4.6442,0.3319,5,"","Populus deltoides","Tamarix ramosissima","Nagler et al 2005","Nagler et al 2005a",2005,33.8,-106.9,"Observational","Forest","Terrestrial",30,8,1,1,1,1,141,243,-1541.375
"Mean daily evapotranspiration","millimetres of water per day","Water supply",5.1028,3.1712,5,0.371,0.2831,5,"","Populus deltoides","Tamarix ramosissima","Nagler et al 2005","Nagler et al 2005b",2005,34.3,-106.8,"Observational","Forest","Terrestrial",30,8,1,1,1,1,126,257,-1478.45837402344
"Evapotranspiration","millimols of carbon dioxide per metre squared per second","Water supply",1.822433333,0.097985968,7,2.302966667,0.21154662,7,"SE","Avena fatua","Cynara cardunculus","Potts et al (2008)","Potts et al (2008)a",2008,33.38,-117.5,"Observational","Grassland","Terrestrial",0.75,1.15,0,0,1,1,161,385,-1021.125
"Stand transpiration","mm per season","Water supply",270.0203,NA,NA,294.8253,NA,NA,"","Pinus pinaster","Acacia longifola","Rascher et al. (2011)","Rascher et al. (2011)a",2011,38.25,-8.766666667,"Observational","Coastal dunes","Terrestrial",27.5,10,1,1,1,1,169,610,-793.375
